中毒|ちゅうどく15
八|はち|1
六|ろく|2
入る|はいる|1
猫舌|ねこじた|19
二|に|1
順位|じゅんい|19
フランス人|フランスじん|1
十|じゅう|1
石|いし|2
下さい|ください|1
前回|ぜんかい|8
変死|へんし|15
細かい|こまかい|19
五|ご|2
刀|かたな|2
矢|や|3
五月|ごがつ|2
文章|ぶんしょう|12
天才|てんさい|2
又|また|2
空港|くうこう|12
一億|いちおく|13
易しい|やさしい|19
目|め|2
演ずる|えんずる|23
女王|じょおう|2
王|おう|2
愛国心|あいこくしん|17
白|しろ|2
立つ|たつ|2
友人|ゆうじん|3
半分|はんぶん|3
方|かた|3
方|ほう|3
今回|こんかい|5
他人|たにん|4
気|き|4
広い|ひろい|3
春休み|はるやすみ|15
崎|さき|23
電子|でんし|8
耳|みみ|4
虫|むし|4
赤|あか|4
大学|だいがく|5
学生|がくせい|5
池|いけ|5
肉|にく|5
色|いろ|5
草|くさ|5
無理|むり|17
外来|がいらい|5
来る|くる|5
近年|きんねん|5
雨|あめ|5
両日|りょうじつ|6
電話|でんわ|8
お願い|おねがい|15
禅僧|ぜんそう|18
天国|てんごく|6
顔面|がんめん|16
土地|とち|6
地|ち|6
姉妹|しまい|6
死ぬ|しぬ|6
死亡|しぼう|6
羊毛|ようもう|6
首|くび|6
午後|ごご|6
海外|かいがい|6
科学|かがく|6
お茶|おちゃ|6
高校|こうこう|7
国民|こくみん|7
練習する|れんしゅうする|15
書き方|かきかた|18
座る|すわる|18
月末|げつまつ|7
今週|こんしゅう|7
雪|ゆき|7
在留|ざいりゅう|20
材木|ざいもく|14
暗記する|あんきする|15
究明|きゅうめい|8
住人|じゅうにん|8
医者|いしゃ|8
名所|めいしょ|8
電気|でんき|8
全然|ぜんぜん|13
達|たち|18
期待する|きたいする|14
絵|え|8
予定|よてい|9
物|もの|9
一番目|いちばんめ|10
信用|しんよう|15
牛乳|ぎゅうにゅう|23
泳ぐ|およぐ|9
起きる|おきる|10
速度|そくど|10
進化|しんか|10
望み|のぞみ|14
動く|うごく|12
勝者|しょうしゃ|9
農民|のうみん|10
頭|あたま|10
顔|かお|10
夕焼け|ゆうやけ|18
横|よこ|10
算定する|さんていする|10
飲む|のむ|10
共通点|きょうつうてん|11
海岸|かいがん|11
高級|こうきゅう|11
約|やく|14
身体|しんたい|8
位|い|11
根本|こんぽん|12
命令|めいれい|11
鏡|かがみ|13
話題|わだい|13
公告|こうこく|18
大敵|たいてき|21
作戦|さくせん|11
洋服|ようふく|11
会社員|かいしゃいん|12
広島|ひろしま|12
登山|とざん|12
区|く|15
坂|さか|15
社員|しゃいん|12
歯|は|12
二階|にかい|12
箱|はこ|16
暴れる|あばれる|19
仏典|ぶってん|16
左手|ひだりて|2
火|ひ|2
犬|いぬ|2
玉|たま|2
空気|くうき|5
四十|よんじゅう|2
追い付く|おいつく|13
大きい|おおきい|1
愛|あい|17
二枚舌|にまいじた|19
一千|いっせん|2
平気|へいき|4
手|て|2
寺|てら|15
千|せん|2
左|ひだり|2
残業|ざんぎょう|14
変|へん|15
証明|しょうめい|16
十月|じゅうがつ|2
王子|おうじ|2
五台|ごだい|3
銀色|ぎんいろ|13
私生活|しせいかつ|14
署名|しょめい|17
月額|げつがく|24
公用|こうよう|3
追う|おう|11
お笑い|おわらい|18
続く|つづく|19
お尻|おしり|20
言語|げんご|10
状況|じょうきょう|25
元|もと|3
今年|ことし|6
今年|こんねん|6
分|ぶん|3
分|ふん|3
私立|しりつ|14
会議|かいぎ|20
残額|ざんがく|24
福島|ふくしま|13
牛|うし|3
不可能|ふかのう|22
今|いま|3
冬|ふゆ|3
市|し|3
外|そと|3
二月|にがつ|2
客室|きゃくしつ|9
落書き|らくがき|18
借り手|かりて|20
一台|いちだい|3
全て|すべて|6
約束|やくそく|14
足|あし|4
全日本|ぜんにほん|6
失望|しつぼう|14
岩|いわ|15
足首|あしくび|6
赤い|あかい|4
竹の子|たけのこ|4
早い|はやい|4
絡む|からむ|19
五百|ごひゃく|4
花|はな|4
元気|げんき|4
花見|はなみ|4
両手|りょうて|6
注文する|ちゅうもんする|13
心配事|しんぱいごと|12
折り目|おりめ|16
年|とし|4
月見|つきみ|4
血|ち|6
一流|いちりゅう|12
殺人|さつじん|13
名人|めいじん|4
町|まち|4
お礼|おれい|4
糸|いと|4
北西|ほくせい|5
号|ごう|4
人気|にんき|4
見せる|みせる|4
和風|わふう|9
三冊|さんさつ|19
村|むら|4
天気|てんき|4
春|はる|15
報道|ほうどう|18
達人|たつじん|18
肩|かた|24
無視する|むしする|24
変える|かえる|15
谷|たに|5
この辺|このへん|7
遠い|とおい|16
外面|がいめん|16
祈念|きねん|18
何年|なんねん|5
何|なん|5
何|なに|5
今まで|いままで|5
声|こえ|5
毛糸|けいと|5
亡くなる|なくなる|6
学校|がっこう|7
風|かぜ|7
作文|さくぶん|5
来月|らいげつ|5
来年|らいねん|5
日記|にっき|7
相手|あいて|9
地球|ちきゅう|12
昨日|きのう|15
白い|しろい|4
回|かい|5
売り上げ|うりあげ|5
工学|こうがく|5
毎日|まいにち|5
回転|かいてん|10
一回|いっかい|5
近日|きんじつ|5
金玉|きんたま|5
麦|むぎ|5
泣き虫|なきむし|17
切り取る|きりとる|18
混乱する|こんらんする|21
運|うん|12
体内|たいない|5
売る|うる|5
本州|ほんしゅう|6
悪気|わるぎ|14
気持ちいい|きもちいい|11
黒煙|こくえん|18
毎月|まいげつ|5
毎月|まいつき|5
地図|ちず|6
必要|ひつよう|9
買い物|かいもの|10
中東|ちゅうとう|6
次|つぎ|6
辺り|あたり|7
船|ふね|7
権利|けんり|21
特質|とくしつ|24
布地|ぬのじ|21
布地|きれじ|21
安心|あんしん|6
東京|とうきょう|6
時間|じかん|8
不完全|ふかんぜん|16
質|しつ|24
正直|しょうじき|6
首になる|くびになる|6
未来|みらい|7
先週|せんしゅう|7
待つ|まつ|9
親しい|したしい|10
晩|ばん|15
展示会|てんじかい|24
以前|いぜん|7
地理|ちり|7
折り紙|おりがみ|16
魚|さかな|7
心理学|しんりがく|7
出血|しゅっけつ|6
長い|ながい|6
年末|ねんまつ|7
毒ガス|どくがす|15
毒ガス|どくガス|15
計画|けいかく|15
泣き声|なきごえ|17
敵|てき|21
園|えん|16
園|その|16
弱い|よわい|7
何時|なんじ|7
全額|ぜんがく|24
住民|じゅうみん|9
楽|らく|8
毒言|どくげん|15
時限|じげん|24
末|すえ|7
風船|ふうせん|7
白鳥|はくちょう|7
鳥|とり|7
保証|ほしょう|16
夜|よる|6
黄色|きいろ|7
病|びょう|10
阪神|はんしん|16
嫌疑|けんぎ|20
穴場|あなば|20
飛行機|ひこうき|20
南東|なんとう|6
目次|もくじ|6
海|うみ|6
黒い|くろい|7
若者|わかもの|19
南米|なんべい|8
四国|しこく|6
星|ほし|6
直る|なおる|6
羊|ひつじ|6
橋|はし|13
有毒|ゆうどく|15
保険|ほけん|16
他|ほか|4
強い|つよい|7
言い方|いいかた|7
顔付き|かおつき|10
倒産|とうさん|20
議論|ぎろん|20
足す|たす|6
年上|としうえ|6
乗り物|のりもの|9
着ける|つける|14
毒|どく|15
外交官|がいこうかん|17
留守番電話|るすばんでんわ|20
乗る|のる|9
音|おと|5
住所|じゅうしょ|8
苦しむ|くるしむ|11
運がいい|うんがいい|10
